,elementos,simbolos,massas,numero atomico
0,Hidrogênio,H,1.008,1
1,Hélio,He,4.003,2
2,Lítio,Li,6.941,3
3,Berílio,Be,9.012,4
4,Boro,B,10.811,5
5,Carbono,C,12.011,6
6,Nitrogênio,N,14.007,7
7,Oxigênio,O,15.999,8
8,Flúor,F,18.998,9
9,Neônio,Ne,20.18,10
10,Sódio,Na,22.99,11
11,Magnésio,Mg,24.305,12
12,Alumínio,Al,26.982,13
13,Silício,Si,28.086,14
14,Fósforo,P,30.974,15
15,Enxofre,S,32.065,16
16,Cloro,Cl,35.453,17
17,Argônio,Ar,39.948,18
18,Potássio,K,39.098,19
19,Cálcio,Ca,40.078,20
20,Escândio,Sc,44.956,21
21,Titânio,Ti,47.867,22
22,Vanádio,V,50.942,23
23,Cromo,Cr,51.996,24
24,Manganês,Mn,54.938,25
25,Ferro,Fe,55.845,26
26,Cobalto,Co,58.933,27
27,Níquel,Ni,58.693,28
28,Cobre,Cu,63.546,29
29,Zinco,Zn,65.409,30
30,Gálio,Ga,69.723,31
31,Germânio,Ge,72.64,32
32,Arsênio,As,74.922,33
33,Selênio,Se,78.96,34
34,Bromo,Br,79.904,35
35,Criptônio,Kr,83.798,36
36,Rubídio,Rb,85.468,37
37,Estrôncio,Sr,87.62,38
38,Ítrio,Y,88.906,39
39,Zircônio,Zr,91.224,40
40,Nióbio,Nb,92.906 38,41
41,Molibdênio,Mo,95.94,42
42,Tecnécio,Tc,[98],43
43,Rutênio,Ru,101.07,44
44,Ródio,Rh,102.905 50,45
45,Paládio,Pd,106.42,46
46,Prata,Ag,107.868,47
47,Cádmio,Cd,112.411,48
48,Índio,In,114.818,49
49,Estanho,Sn,118.71,50
50,Antimônio,Sb,121.76,51
51,Telúrio,Te,128.6,52
52,Iodo,I,126.904 47,53
53,Xenônio,Xe,131.293,54
54,Césio,Cs,132.905,55
55,Bário,Ba,137.327,56
56,Lantânio,La,138.905,57
57,Cério,Ce,140.116,58
58,Praseodímio,Pr,140.908,59
59,Neodímio,Nd,144.242,60
60,Promécio,Pm,[145],61
61,Samário,Sm,150.36,62
62,Európio,Eu,151.964,63
63,Gadolínio,Gd,157.25,64
64,Térbio,Tb,158.925,65
65,Disprósio,Dy,162.5,66
66,Hólmio,Ho,164.930 32,67
67,Érbio,Er,167.259,68
68,Túlio,Tm,168.934,69
69,Itérbio,Yb,173.04,70
70,Lutécio,Lu,174.967,71
71,Háfnio,Hf,178.49,72
72,Tântalo,Ta,180.948,73
73,Tungstênio,W,183.84,74
74,Rênio,Re,186.207,75
75,Ósmio,Os,190.23,76
76,Irídio,Ir,192.217,77
77,Platina,Pt,195.084,78
78,Ouro,Au,196.967,79
79,Mercúrio,Hg,200.59,80
80,Tálio,Tl,204.383,81
81,Chumbo,Pb,207.2,82
82,Bismuto,Bi,208.98,83
83,Polônio,Po,[210],84
84,Ástato,At,[210],85
85,Radônio,Rn,[220],86
86,Frâncio,Fr,[223],87
87,Rádio,Ra,[226],88
88,Actínio,Ac,[227],89
89,Tório,Th,232.03806,90
90,Protactínio,Pa,231.03588,91
91,Urânio,U,238.02891,92
92,Netúnio,Np,[237],93
93,Plutônio,Pu,[244],94
94,Amerício,Am,[243],95
95,Cúrio,Cm,[247],96
96,Berquélio,Bk,[247],97
97,Califórnio,Cf,[251],98
98,Einsténio,Es,[252],99
99,Férmio,Fm,[257],100
100,Mendelévio,Md,[258],101
101,Nobélio,No,[259],102
102,Laurêncio,Lr,[262],103
103,Rutherfórdio,Rf,261,104
104,Dúbnio,Db,[262],105
105,Seabórgio,Sg,[266],106
106,Bóhrio,Bh,[264],107
107,Hássio,Hs,[277],108
108,Meitnério,Mt,[268],109
109,Darmstádio,Ds,[271],110
110,Roentgênio,Rg,[272],111
111,Copernício,Cn,[277],112
112,Nihônio,Nh,[286],113
113,Fleróvio,Fl,[289],114
114,Moscóvio,Mc,[288],115
115,Livermório,Lv,[293],116
116,Tenessino,Ts,[294],117
117,Oganessônio,Og,[294],118
